0 199
200 10000
0 100 14
0 101 2
0 102 3
0 103 9
0 104 2
0 105 12
0 106 4
0 107 7
0 108 12
0 109 11
0 110 11
0 111 12
0 112 9
0 113 2
0 114 9
0 115 5
0 116 3
0 117 5
0 118 11
0 119 6
0 120 7
0 121 13
0 122 14
0 123 9
0 124 9
0 125 9
0 126 13
0 127 4
0 128 15
0 129 6
0 130 15
0 131 2
0 132 6
0 133 2
0 134 5
0 135 3
0 136 1
0 137 1
0 138 5
0 139 11
0 140 1
0 141 1
0 142 7
0 143 1
0 144 11
0 145 5
0 146 9
0 147 5
0 148 12
0 149 9
0 150 13
0 151 14
0 152 7
0 153 4
0 154 12
0 155 8
0 156 9
0 157 3
0 158 4
0 159 3
0 160 5
0 161 7
0 162 7
0 163 4
0 164 15
0 165 12
0 166 5
0 167 7
0 168 7
0 169 11
0 170 14
0 171 11
0 172 3
0 173 7
0 174 11
0 175 2
0 176 12
0 177 9
0 178 7
0 179 9
0 180 13
0 181 12
0 182 2
0 183 7
0 184 15
0 185 1
0 186 6
0 187 5
0 188 6
0 189 1
0 190 10
0 191 12
0 192 12
0 193 12
0 194 11
0 195 13
0 196 12
0 197 2
0 198 3
0 199 13
1 100 11
1 101 15
1 102 3
1 103 4
1 104 13
1 105 1
1 106 5
1 107 4
1 108 6
1 109 14
1 110 13
1 111 3
1 112 3
1 113 3
1 114 2
1 115 9
1 116 3
1 117 5
1 118 3
1 119 8
1 120 5
1 121 14
1 122 12
1 123 11
1 124 8
1 125 15
1 126 9
1 127 5
1 128 1
1 129 13
1 130 14
1 131 7
1 132 13
1 133 1
1 134 4
1 135 9
1 136 10
1 137 6
1 138 11
1 139 5
1 140 5
1 141 5
1 142 5
1 143 6
1 144 10
1 145 12
1 146 11
1 147 9
1 148 13
1 149 2
1 150 13
1 151 12
1 152 7
1 153 13
1 154 4
1 155 6
1 156 14
1 157 10
1 158 11
1 159 1
1 160 15
1 161 1
1 162 15
1 163 3
1 164 5
1 165 12
1 166 9
1 167 5
1 168 5
1 169 10
1 170 6
1 171 9
1 172 2
1 173 5
1 174 11
1 175 4
1 176 13
1 177 14
1 178 1
1 179 5
1 180 2
1 181 9
1 182 14
1 183 6
1 184 12
1 185 8
1 186 11
1 187 7
1 188 13
1 189 12
1 190 5
1 191 5
1 192 7
1 193 10
1 194 10
1 195 3
1 196 10
1 197 5
1 198 14
1 199 13
2 100 4
2 101 4
2 102 5
2 103 5
2 104 3
2 105 3
2 106 9
2 107 4
2 108 9
2 109 4
2 110 2
2 111 4
2 112 4
2 113 2
2 114 10
2 115 7
2 116 12
2 117 14
2 118 2
2 119 12
2 120 13
2 121 10
2 122 5
2 123 6
2 124 9
2 125 2
2 126 9
2 127 7
2 128 11
2 129 11
2 130 4
2 131 4
2 132 15
2 133 15
2 134 5
2 135 12
2 136 3
2 137 9
2 138 5
2 139 8
2 140 12
2 141 3
2 142 2
2 143 7
2 144 6
2 145 9
2 146 15
2 147 14
2 148 15
2 149 15
2 150 10
2 151 6
2 152 14
2 153 12
2 154 11
2 155 10
2 156 9
2 157 4
2 158 8
2 159 9
2 160 3
2 161 14
2 162 3
2 163 12
2 164 8
2 165 14
2 166 2
2 167 3
2 168 9
2 169 9
2 170 7
2 171 12
2 172 10
2 173 2
2 174 8
2 175 1
2 176 1
2 177 13
2 178 7
2 179 4
2 180 4
2 181 15
2 182 12
2 183 2
2 184 7
2 185 9
2 186 2
2 187 12
2 188 13
2 189 6
2 190 10
2 191 10
2 192 2
2 193 11
2 194 14
2 195 2
2 196 13
2 197 10
2 198 7
2 199 8
3 100 1
3 101 9
3 102 2
3 103 4
3 104 4
3 105 14
3 106 7
3 107 4
3 108 9
3 109 14
3 110 3
3 111 13
3 112 6
3 113 11
3 114 3
3 115 3
3 116 13
3 117 3
3 118 2
3 119 10
3 120 14
3 121 4
3 122 1
3 123 15
3 124 7
3 125 10
3 126 6
3 127 7
3 128 9
3 129 13
3 130 12
3 131 10
3 132 12
3 133 9
3 134 6
3 135 2
3 136 3
3 137 9
3 138 2
3 139 11
3 140 3
