0 99
100 4950
0 1 10
0 2 12
0 3 2
0 4 13
0 5 11
0 6 14
0 7 1
0 8 6
0 9 6
0 10 10
0 11 4
0 12 3
0 13 5
0 14 4
0 15 1
0 16 8
0 17 7
0 18 11
0 19 15
0 20 5
0 21 9
0 22 14
0 23 8
0 24 15
0 25 7
0 26 7
0 27 4
0 28 2
0 29 6
0 30 2
0 31 9
0 32 13
0 33 15
0 34 1
0 35 4
0 36 8
0 37 6
0 38 2
0 39 15
0 40 5
0 41 13
0 42 9
0 43 5
0 44 10
0 45 7
0 46 8
0 47 14
0 48 9
0 49 6
0 50 11
0 51 2
0 52 11
0 53 8
0 54 8
0 55 6
0 56 2
0 57 8
0 58 2
0 59 8
0 60 2
0 61 2
0 62 3
0 63 12
0 64 12
0 65 14
0 66 10
0 67 15
0 68 10
0 69 12
0 70 4
0 71 7
0 72 14
0 73 4
0 74 13
0 75 2
0 76 8
0 77 3
0 78 3
0 79 10
0 80 1
0 81 10
0 82 8
0 83 4
0 84 15
0 85 11
0 86 10
0 87 11
0 88 10
0 89 5
0 90 11
0 91 3
0 92 6
0 93 13
0 94 10
0 95 5
0 96 14
0 97 14
0 98 12
0 99 8
1 2 9
1 3 9
1 4 14
1 5 10
1 6 13
1 7 13
1 8 12
1 9 1
1 10 8
1 11 10
1 12 13
1 13 13
1 14 13
1 15 5
1 16 14
1 17 11
1 18 6
1 19 1
1 20 13
1 21 13
1 22 3
1 23 11
1 24 11
1 25 6
1 26 14
1 27 10
1 28 8
1 29 14
1 30 5
1 31 6
1 32 6
1 33 5
1 34 14
1 35 6
1 36 2
1 37 13
1 38 1
1 39 12
1 40 13
1 41 4
1 42 8
1 43 10
1 44 13
1 45 8
1 46 9
1 47 2
1 48 3
1 49 15
1 50 4
1 51 14
1 52 14
1 53 10
1 54 1
1 55 15
1 56 5
1 57 15
1 58 10
1 59 9
1 60 1
1 61 4
1 62 11
1 63 9
1 64 7
1 65 6
1 66 13
1 67 14
1 68 4
1 69 15
1 70 2
1 71 1
1 72 8
1 73 4
1 74 9
1 75 10
1 76 5
1 77 8
1 78 7
1 79 1
1 80 5
1 81 6
1 82 14
1 83 1
1 84 3
1 85 14
1 86 6
1 87 12
1 88 7
1 89 4
1 90 8
1 91 6
1 92 8
1 93 12
1 94 3
1 95 5
1 96 1
1 97 1
1 98 2
1 99 14
2 3 2
2 4 7
2 5 10
2 6 1
2 7 11
2 8 2
2 9 15
2 10 15
2 11 10
2 12 3
2 13 13
2 14 15
2 15 11
2 16 4
2 17 2
2 18 2
2 19 11
2 20 14
