0 49
50 1225
0 1 12
0 2 7
0 3 4
0 4 10
0 5 8
0 6 8
0 7 5
0 8 12
0 9 8
0 10 9
0 11 13
0 12 13
0 13 9
0 14 7
0 15 7
0 16 4
0 17 2
0 18 15
0 19 15
0 20 7
0 21 10
0 22 2
0 23 13
0 24 6
0 25 9
0 26 5
0 27 15
0 28 15
0 29 2
0 30 7
0 31 11
0 32 11
0 33 4
0 34 14
0 35 6
0 36 4
0 37 14
0 38 11
0 39 14
0 40 7
0 41 13
0 42 7
0 43 4
0 44 5
0 45 12
0 46 4
0 47 10
0 48 10
0 49 8
1 2 1
1 3 7
1 4 7
1 5 11
1 6 6
1 7 9
1 8 8
1 9 7
1 10 7
1 11 1
1 12 11
1 13 10
1 14 5
1 15 12
1 16 14
1 17 12
1 18 6
1 19 10
1 20 10
1 21 8
1 22 2
1 23 4
1 24 15
1 25 2
1 26 14
1 27 3
1 28 14
1 29 1
1 30 2
1 31 11
1 32 15
1 33 11
1 34 13
1 35 13
1 36 12
1 37 13
1 38 11
1 39 9
1 40 1
1 41 4
1 42 7
1 43 13
1 44 9
1 45 4
1 46 1
1 47 14
1 48 15
1 49 15
2 3 14
2 4 14
2 5 2
2 6 2
2 7 15
2 8 1
2 9 10
2 10 12
2 11 6
2 12 3
2 13 10
2 14 9
2 15 13
2 16 15
2 17 3
2 18 8
2 19 12
2 20 6
2 21 6
2 22 8
2 23 2
2 24 15
2 25 12
2 26 2
2 27 3
2 28 4
2 29 11
2 30 8
2 31 8
2 32 10
2 33 12
2 34 5
2 35 7
2 36 4
2 37 13
2 38 15
2 39 2
2 40 6
2 41 2
2 42 15
2 43 13
2 44 13
2 45 15
2 46 15
2 47 10
2 48 3
2 49 13
3 4 12
3 5 7
3 6 10
3 7 11
3 8 13
3 9 10
3 10 8
3 11 5
3 12 9
3 13 14
3 14 5
3 15 12
3 16 10
3 17 15
3 18 3
3 19 7
3 20 2
3 21 2
3 22 12
3 23 13
3 24 13
3 25 9
3 26 14
3 27 4
3 28 2
3 29 12
3 30 6
3 31 7
3 32 7
3 33 9
3 34 12
3 35 11
3 36 3
3 37 1
3 38 7
3 39 11
3 40 10
3 41 13
3 42 2
3 43 10
3 44 8
3 45 10
3 46 3
3 47 13
3 48 6
3 49 15
4 5 13
4 6 15
4 7 2
4 8 2
4 9 3
4 10 13
4 11 8
4 12 10
4 13 14
4 14 15
4 15 9
4 16 5
4 17 10
4 18 1
4 19 9
4 20 11
4 21 10
4 22 4
4 23 14
4 24 9
4 25 12
4 26 2
4 27 5
4 28 3
4 29 12
4 30 9
4 31 3
4 32 13
4 33 13
4 34 14
4 35 3
4 36 4
4 37 3
4 38 13
4 39 10
4 40 12
4 41 8
4 42 2
4 43 4
4 44 11
4 45 10
4 46 8
4 47 9
4 48 15
4 49 10
5 6 5
5 7 4
5 8 9
5 9 11
5 10 9
5 11 9
5 12 5
5 13 6
5 14 1
5 15 7
5 16 13
5 17 14
5 18 10
5 19 11
5 20 9
5 21 10
5 22 6
5 23 6
5 24 11
5 25 9
5 26 5
5 27 6
5 28 12
5 29 9
5 30 8
5 31 1
5 32 14
5 33 3
5 34 13
5 35 8
5 36 2
5 37 10
5 38 7
5 39 6
5 40 13
5 41 1
5 42 6
5 43 11
5 44 15
5 45 2
5 46 6
5 47 14
5 48 7
5 49 11
6 7 7
6 8 4
6 9 14
6 10 9
6 11 6
6 12 13
6 13 11
6 14 15
6 15 7
6 16 10
6 17 14
6 18 5
6 19 2
6 20 1
6 21 2
6 22 3
6 23 4
6 24 3
6 25 4
6 26 9
6 27 13
6 28 3
6 29 12
6 30 11
6 31 13
6 32 2
6 33 10
6 34 13
6 35 7
6 36 14
6 37 3
6 38 2
6 39 3
6 40 3
6 41 7
6 42 15
6 43 9
6 44 11
6 45 9
6 46 13
6 47 3
6 48 1
6 49 15
7 8 9
7 9 3
7 10 8
7 11 12
7 12 6
7 13 11
7 14 12
7 15 8
7 16 5
7 17 5
7 18 14
7 19 9
7 20 10
7 21 3
7 22 10
7 23 9
7 24 14
7 25 11
7 26 10
7 27 13
7 28 6
7 29 12
7 30 10
7 31 13
7 32 13
7 33 6
7 34 3
7 35 10
7 36 7
7 37 13
7 38 4
7 39 13
7 40 6
7 41 6
7 42 6
7 43 14
7 44 15
7 45 13
7 46 12
7 47 3
7 48 6
7 49 9
8 9 12
8 10 10
8 11 12
8 12 12
8 13 8
8 14 2
8 15 8
8 16 6
8 17 6
8 18 2
8 19 7
8 20 4
8 21 2
8 22 14
8 23 12
8 24 11
8 25 8
8 26 7
8 27 5
8 28 14
8 29 2
8 30 5
8 31 7
8 32 13
8 33 3
8 34 14
8 35 14
8 36 11
8 37 13
8 38 2
8 39 9
8 40 3
8 41 10
8 42 5
8 43 7
8 44 1
8 45 13
8 46 15
8 47 9
8 48 14
8 49 4
9 10 8
9 11 12
9 12 4
9 13 15
9 14 9
9 15 15
9 16 8
9 17 11
9 18 11
9 19 7
9 20 15
9 21 7
9 22 14
9 23 3
9 24 4
9 25 5
9 26 10
9 27 11
9 28 15
9 29 1
9 30 8
9 31 12
9 32 12
9 33 1
9 34 11
9 35 14
9 36 3
9 37 8
9 38 12
9 39 8
9 40 8
9 41 3
9 42 3
9 43 12
9 44 7
9 45 10
9 46 4
9 47 7
9 48 6
9 49 13
10 11 10
10 12 4
10 13 9
10 14 10
10 15 6
10 16 11
10 17 8
10 18 4
10 19 13
10 20 8
10 21 6
10 22 2
10 23 6
10 24 6
10 25 3
10 26 3
10 27 3
10 28 15
10 29 3
10 30 12
10 31 11
10 32 6
10 33 12
10 34 4
10 35 12
10 36 7
10 37 1
10 38 3
10 39 7
10 40 5
10 41 3
10 42 9
10 43 3
10 44 2
10 45 6
10 46 3
10 47 12
10 48 10
10 49 6
11 12 2
11 13 11
11 14 7
11 15 15
11 16 1
11 17 9
11 18 15
11 19 6
11 20 12
11 21 10
11 22 9
11 23 1
11 24 15
11 25 7
11 26 3
11 27 12
11 28 3
11 29 8
11 30 6
11 31 6
11 32 15
11 33 1
11 34 10
11 35 7
11 36 4
11 37 9
11 38 9
11 39 10
11 40 14
11 41 15
11 42 13
11 43 5
11 44 6
11 45 14
11 46 8
11 47 7
11 48 11
11 49 8
12 13 11
12 14 11
12 15 6
12 16 11
12 17 5
12 18 15
12 19 10
12 20 2
12 21 15
12 22 1
12 23 7
12 24 12
12 25 10
12 26 14
12 27 7
12 28 7
12 29 6
12 30 1
12 31 5
12 32 9
12 33 11
12 34 13
12 35 14
12 36 15
12 37 13
12 38 7
12 39 13
12 40 13
12 41 1
12 42 12
12 43 8
12 44 5
12 45 12
12 46 2
12 47 6
12 48 8
12 49 15
13 14 8
13 15 15
13 16 14
13 17 8
13 18 2
13 19 9
13 20 2
13 21 7
13 22 3
13 23 8
13 24 2
13 25 9
13 26 2
13 27 9
13 28 4
13 29 5
13 30 15
13 31 10
13 32 14
13 33 12
13 34 10
13 35 1
13 36 15
13 37 14
13 38 2
13 39 9
13 40 13
13 41 7
13 42 11
13 43 3
13 44 6
13 45 15
13 46 9
13 47 5
13 48 4
13 49 2
14 15 14
14 16 8
14 17 5
14 18 10
14 19 2
14 20 13
14 21 2
14 22 8
14 23 15
14 24 4
14 25 12
14 26 12
14 27 6
14 28 12
14 29 10
14 30 11
14 31 10
14 32 11
14 33 2
14 34 6
14 35 15
14 36 1
14 37 15
14 38 7
14 39 2
14 40 1
14 41 12
14 42 12
14 43 12
14 44 1
14 45 11
14 46 1
14 47 2
14 48 1
14 49 1
15 16 12
15 17 11
15 18 12
15 19 11
15 20 7
15 21 12
15 22 9
15 23 13
15 24 6
15 25 12
15 26 7
15 27 10
15 28 12
15 29 14
15 30 13
15 31 10
15 32 4
15 33 4
15 34 2
15 35 8
15 36 6
15 37 8
15 38 3
15 39 11
15 40 13
15 41 6
15 42 2
15 43 5
15 44 1
15 45 15
15 46 8
15 47 9
15 48 15
15 49 2
16 17 1
16 18 1
16 19 13
16 20 2
16 21 5
16 22 9
16 23 11
16 24 15
16 25 2
16 26 8
16 27 1
16 28 8
16 29 6
16 30 9
16 31 2
16 32 14
16 33 12
16 34 9
16 35 11
16 36 4
16 37 11
16 38 13
16 39 4
16 40 11
16 41 12
16 42 7
16 43 2
16 44 4
16 45 3
16 46 14
16 47 5
16 48 5
16 49 3
17 18 9
17 19 1
17 20 7
17 21 7
17 22 6
17 23 10
17 24 7
17 25 12
17 26 9
17 27 10
17 28 3
17 29 5
17 30 2
17 31 8
17 32 4
17 33 10
17 34 6
17 35 7
17 36 8
17 37 15
17 38 3
17 39 7
17 40 10
17 41 6
17 42 2
17 43 1
17 44 7
17 45 6
17 46 10
17 47 5
17 48 5
17 49 12
18 19 6
18 20 4
18 21 8
18 22 8
18 23 7
18 24 5
18 25 1
18 26 13
18 27 10
18 28 1
18 29 4
18 30 10
18 31 15
18 32 4
18 33 2
18 34 14
18 35 7
18 36 9
18 37 2
18 38 9
18 39 2
18 40 1
18 41 15
18 42 5
18 43 5
18 44 2
18 45 14
18 46 1
18 47 14
18 48 13
18 49 12
19 20 15
19 21 13
19 22 11
19 23 11
19 24 5
19 25 13
19 26 5
19 27 9
19 28 9
19 29 15
19 30 15
19 31 8
19 32 6
19 33 6
19 34 8
19 35 4
19 36 6
19 37 15
19 38 6
19 39 8
19 40 8
19 41 10
19 42 14
19 43 4
19 44 6
19 45 8
19 46 9
19 47 8
19 48 14
19 49 6
20 21 4
20 22 9
20 23 14
20 24 10
20 25 5
20 26 15
20 27 13
20 28 6
20 29 14
20 30 13
20 31 3
20 32 12
20 33 8
20 34 7
20 35 1
20 36 11
20 37 11
20 38 8
20 39 5
20 40 6
20 41 4
20 42 11
20 43 7
20 44 11
20 45 4
20 46 2
